ang,757,"ANG:34,Ang:11,anG:1,"
run,755,"RUN:38,Run:4,"
ruo,752,"RUO:43,Ruo:5,RuO:1,"
pao,731,"PAO:30,Pao:3,paO:1,pAo:1,"
chuang,700,"CHUANG:39,Chuang:5,"
hun,694,"HUN:35,Hun:6,huN:1,"
kou,692,"KOU:37,Kou:8,"
mian,689,"MIAN:20,Mian:4,miaN:1,MiAn:1,"
mou,680,"MOU:37,Mou:12,"
ei,670,"EI:36,Ei:8,"
tie,668,"TIE:39,Tie:2,"
tuo,635,"TUO:51,Tuo:1,"
weng,618,"WENG:36,Weng:5,wENG:1,"
nuo,617,"NUO:36,nuO:3,Nuo:3,"
chai,615,"CHAI:33,"
nao,597,"NAO:23,Nao:2,nAo:1,"
lia,596,"LIA:32,Lia:3,liA:2,lIa:1,LIa:1,"
lie,548,"LIE:24,Lie:3,"
neng,543,"NENG:40,Neng:1,"
fo,526,"FO:20,Fo:11,fO:2,"
shei,518,"SHEI:14,Shei:2,"
luan,490,"LUAN:24,Luan:6,"
rao,485,"RAO:28,Rao:4,"
zha,477,"ZHA:34,Zha:5,zHa:1,"
bie,447,"BIE:29,Bie:5,"
cu,443,"CU:15,Cu:14,"
sang,440,"SANG:29,Sang:3,"
mang,431,"MANG:16,Mang:2,"
suan,429,"SUAN:17,Suan:1,"
dui,418,"DUI:21,dUI:1,Dui:1,"
dun,417,"DUN:20,Dun:4,"
zan,415,"ZAN:21,Zan:6,"
que,405,"QUE:18,Que:8,"
cen,403,"CEN:24,Cen:4,ceN:1,"
kuan,397,"KUAN:22,Kuan:2,"
zhuan,396,"ZHUAN:20,Zhuan:1,"
gun,391,"GUN:29,Gun:2,guN:1,"
pai,369,"PAI:22,Pai:2,paI:1,"
cang,363,"CANG:10,Cang:5,"
zang,348,"ZANG:19,Zang:3,ZAng:1,"
zhui,334,"ZHUI:15,Zhui:2,"
rou,330,"ROU:18,Rou:3,"
zao,316,"ZAO:10,Zao:3,zAO:1,"
cuo,297,"CUO:9,"
qie,291,"QIE:7,Qie:2,"
pian,291,"PIAN:13,"
zun,281,"ZUN:9,Zun:3,ZuN:2,"
nen,276,"NEN:7,nEn:1,Nen:1,"
nong,275,"NONG:25,Nong:1,"
tiao,267,"TIAO:17,Tiao:2,"
kuo,267,"KUO:8,Kuo:2,"
nei,243,"NEI:15,Nei:1,"
tuan,241,"TUAN:20,Tuan:1,"
zen,237,"ZEN:12,Zen:4,zEN:1,"
dia,234,"DIA:14,Dia:8,dIa:1,"
nin,225,"NIN:11,Nin:4,niN:2,"
mie,219,"MIE:9,Mie:1,"
sao,215,"SAO:14,Sao:2,"
jiong,204,"JIONG:8,"
diu,187,"DIU:7,Diu:2,"
zhuai,185,"ZHUAI:9,ZHuai:2,Zhuai:1,ZHUai:1,"
qia,167,"QIA:9,qiA:2,Qia:1,"
sou,160,"SOU:10,Sou:2,"
gei,160,"GEI:10,"
rang,156,"RANG:6,Rang:3,"
niang,156,"NIANG:10,"
tun,153,"TUN:6,"
chui,149,"CHUI:5,Chui:1,CHui:1,"
zei,148,"ZEI:7,"
nuan,143,"NUAN:10,Nuan:1,"
pie,139,"PIE:4,Pie:3,"
shua,133,"SHUA:3,SHUa:1,"
tui,128,"TUI:5,Tui:1,"
shuan,128,"SHUAN:4,"
ceng,120,"CENG:7,"
zhun,117,"ZHUN:6,Zhun:1,"
zhua,115,"ZHUA:2,Zhua:1,"
beng,88,"BENG:4,"
nou,81,"NOU:7,nOu:1,"
keng,80,"KENG:5,"
shai,78,"SHAI:2,"
zuan,77,"ZUAN:2,"
seng,73,"SENG:8,Seng:1,"
qui,68,"QUI:7,Qui:1,"
miu,64,"MIU:5,"
dei,63,"DEI:6,"
lve,52,"LVE:4,"
kua,47,"KUA:3,"
nang,46,"NANG:5,"
fou,31,"Fou:1,FOU:1,"
cou,30,"cOu:1,Cou:1,"
reng,27,"renG:1,Reng:1,RENG:1,"
chuai,24
cuan,23,"Cuan:3,"
chuo,22
nve,14
pou,13,"POU:2,Pou:1,"
